species1	species2	replicate
374	Sebastes_ensifer	Sebastes_rosenblatti	67
375	Sebastes_proriger	Sebastes_variegatus	67
376	Sebastes_flavidus	Sebastes_melanops	67
377	Sebastes_levis	Sebastes_paucispinis	67
378	Sebastes_caurinus	Sebastes_saxicola	67
379	Sebastes_melanops	Sebastes_miniatus	68
380	Sebastes_caurinus	Sebastes_elongatus	68
381	Sebastes_proriger	Sebastes_zacentrus	68
382	Sebastes_goodei	Sebastes_levis	68
383	Sebastes_entomelas	Sebastes_mystinus	68
384	Sebastes_chlorostictus	Sebastes_rosenblatti	68
385	Sebastes_caurinus	Sebastes_flavidus	69
386	Sebastes_proriger	Sebastes_zacentrus	69
387	Sebastes_goodei	Sebastes_paucispinis	69
388	Sebastes_entomelas	Sebastes_mystinus	69
389	Sebastes_chlorostictus	Sebastes_rosenblatti	69
390	Sebastes_flavidus	Sebastes_zacentrus	70
391	Sebastes_chlorostictus	Sebastes_goodei	70
392	Sebastes_caurinus	Sebastes_elongatus	70
393	Sebastes_entomelas	Sebastes_mystinus	70
394	Sebastes_ensifer	Sebastes_zacentrus	71
395	Sebastes_entomelas	Sebastes_flavidus	71
396	Sebastes_caurinus	Sebastes_saxicola	71
397	Sebastes_levis	Sebastes_paucispinis	71
398	Sebastes_chlorostictus	Sebastes_rosenblatti	71
399	Sebastes_goodei	Sebastes_levis	72
400	Sebastes_ensifer	Sebastes_mystinus	72
401	Sebastes_flavidus	Sebastes_melanops	72
402	Sebastes_proriger	Sebastes_variegatus	72
403	Sebastes_chlorostictus	Sebastes_rosenblatti	72
404	Sebastes_elongatus	Sebastes_saxicola	72
405	Sebastes_flavidus	Sebastes_melanops	73
406	Sebastes_caurinus	Sebastes_variegatus	73
407	Sebastes_entomelas	Sebastes_mystinus	73
408	Sebastes_ensifer	Sebastes_rosenblatti	73
409	Sebastes_goodei	Sebastes_paucispinis	73
410	Sebastes_flavidus	Sebastes_variegatus	74
411	Sebastes_levis	Sebastes_saxicola	74
412	Sebastes_chlorostictus	Sebastes_ensifer	74
413	Sebastes_goodei	Sebastes_paucispinis	74
414	Sebastes_entomelas	Sebastes_mystinus	74
415	Sebastes_mystinus	Sebastes_saxicola	75
416	Sebastes_chlorostictus	Sebastes_ensifer	75
417	Sebastes_flavidus	Sebastes_melanops	75
418	Sebastes_levis	Sebastes_paucispinis	75
419	Sebastes_proriger	Sebastes_zacentrus	75
420	Sebastes_proriger	Sebastes_rosenblatti	76
421	Sebastes_goodei	Sebastes_levis	76
422	Sebastes_elongatus	Sebastes_saxicola	76
423	Sebastes_variegatus	Sebastes_zacentrus	76
424	Sebastes_ciliatus	Sebastes_entomelas	76
425	Sebastes_flavidus	Sebastes_melanops	76
426	Sebastes_elongatus	Sebastes_entomelas	77
427	Sebastes_chlorostictus	Sebastes_rosenblatti	77
428	Sebastes_flavidus	Sebastes_melanops	77
429	Sebastes_goodei	Sebastes_paucispinis	77
430	Sebastes_proriger	Sebastes_zacentrus	77
431	Sebastes_caurinus	Sebastes_saxicola	77
432	Sebastes_ciliatus	Sebastes_elongatus	78
433	Sebastes_entomelas	Sebastes_melanops	78
434	Sebastes_ensifer	Sebastes_rosenblatti	78
435	Sebastes_variegatus	Sebastes_zacentrus	78
436	Sebastes_levis	Sebastes_paucispinis	78
437	Sebastes_caurinus	Sebastes_saxicola	78
438	Sebastes_ensifer	Sebastes_paucispinis	79
439	Sebastes_caurinus	Sebastes_saxicola	79
440	Sebastes_ciliatus	Sebastes_entomelas	79
